Select all keywords,Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (BRL),Com.,SF,Results,Updated
cadeiras de computadores,cadeiras de computadores​,C,58,0,"1,900",,n/a,n/a,13,0.57,1.00,5,201,1 month
cadeiras de cozinha,cadeiras de cozinha​,C,53,0,"1,900",,n/a,n/a,18,0.41,1.00,8,169,1 month
cadeiras de jantar modernas e baratas,cadeiras de jantar modernas e baratas​,I,51,0,"1,900",,n/a,n/a,12,0.41,1.00,7,191,1 month
cadeiras escritorio,cadeiras escritorio​,C,61,0,"1,900",,n/a,n/a,19,1.60,1.00,6,193,1 month
cadeiras gruvyer,cadeiras gruvyer​,I,52,0,"1,900",,n/a,n/a,25,0.52,1.00,9,195,1 month
cadeiras jantar,cadeiras jantar​,I,56,0,"1,900",,n/a,n/a,9,0.77,1.00,6,199,1 month
cadeiras para escritorio confortaveis,cadeiras para escritorio confortaveis​,C,57,0,"1,900",,n/a,n/a,24,0.88,1.00,7,188,1 month
cadeiras para recepção,cadeiras para recepção​,I,51,0,"1,900",,n/a,n/a,12,1.03,1.00,7,173,1 month
cadeiras para sala de estar,cadeiras para sala de estar​,IC,53,0,"1,900",,n/a,n/a,19,0.46,1.00,10,192,1 month
ergonomica,ergonomica​,I,47,0,"1,900",,n/a,n/a,21,2.06,1.00,7,176,1 month
loja de cadeiras de escritorio,loja de cadeiras de escritorio​,C,59,0,"1,900",,n/a,n/a,26,2.42,1.00,5,202,1 month
melhores cadeiras ergonomicas,melhores cadeiras ergonomicas​,C,49,0,"1,900",,n/a,n/a,19,1.24,1.00,8,164,1 month
mesa 4 cadeiras preta,mesa 4 cadeiras preta​,I,45,0,"1,900",,n/a,n/a,21,0.72,1.00,7,225,1 month
mesa lateral madeira,mesa lateral madeira​,IC,54,0,"1,900",,n/a,n/a,14,1.03,1.00,6,192,1 month
mesa lateral redonda,mesa lateral redonda​,I,49,0,"1,900",,n/a,n/a,18,0.88,1.00,8,196,1 month
mesinha canto de sala,mesinha canto de sala​,I,46,0,"1,900",,n/a,n/a,14,0.31,1.00,7,154,1 month
mesinha de canto sala,mesinha de canto sala​,I,47,0,"1,900",,n/a,n/a,17,0.31,1.00,7,197,1 month
mesinha lateral,mesinha lateral​,IC,51,0,"1,900",,n/a,n/a,21,0.93,1.00,7,149,1 month
moveis para varanda,moveis para varanda​,I,48,0,"1,900",,n/a,n/a,20,0.82,1.00,8,197,1 month
poltrona de sala,poltrona de sala​,IC,53,0,"1,900",,n/a,n/a,24,0.41,1.00,7,195,1 month
poltrona na sala,poltrona na sala​,C,50,0,"1,900",,n/a,n/a,21,0.46,1.00,8,193,1 month
poltrona para sala de estar,poltrona para sala de estar​,I,53,0,"1,900",,n/a,n/a,21,0.46,1.00,7,189,1 month
poltrona para sala moderna,poltrona para sala moderna​,I,51,0,"1,900",,n/a,n/a,23,0.46,1.00,8,190,1 month
poltrona para sala pequena,poltrona para sala pequena​,I,47,0,"1,900",,n/a,n/a,30,0.36,1.00,8,190,1 month
poltrona pequeno,poltrona pequeno​,I,46,0,"1,900",,n/a,n/a,21,0.52,1.00,6,196,1 month
poltrona sala pequena,poltrona sala pequena​,I,49,0,"1,900",,n/a,n/a,28,0.36,1.00,8,190,1 month
poltronas confortáveis para sala,poltronas confortáveis para sala​,C,48,0,"1,900",,n/a,n/a,18,0.57,1.00,8,194,1 month
assento cadeiras,assento cadeiras​,C,46,0,"1,600",,n/a,n/a,21,0.26,1.00,9,200,1 month
cabide mancebo,cabide mancebo​,IC,45,0,"1,600",,n/a,n/a,29,0.41,1.00,7,27.4K,1 month
cabideiros de chão,cabideiros de chão​,C,55,0,"1,600",,n/a,n/a,18,0.41,1.00,7,188,1 month
cadeira confortável para estudar,cadeira confortável para estudar​,IC,57,0,"1,600",,n/a,n/a,23,0.41,1.00,11,190,1 month
cadeira de acrilico,cadeira de acrilico​,C,48,0,"1,600",,n/a,n/a,21,0.41,1.00,7,186,1 month
cadeira de encosto,cadeira de encosto​,I,47,0,"1,600",,n/a,n/a,5,0.21,1.00,8,187,1 month
cadeira de escritorio rosa,cadeira de escritorio rosa​,I,54,0,"1,600",,n/a,n/a,26,0.57,1.00,8,228,1 month
cadeira de escritório giratória,cadeira de escritório giratória​,C,59,0,"1,600",,n/a,n/a,17,1.13,1.00,7,192,1 month
cadeira de game,cadeira de game​,C,56,0,"1,600",,n/a,n/a,39,0.46,1.00,7,191,1 month
cadeira de jantar estofada,cadeira de jantar estofada​,C,54,0,"1,600",,n/a,n/a,18,0.57,1.00,8,198,1 month
cadeira de jantar madeira,cadeira de jantar madeira​,I,56,0,"1,600",,n/a,n/a,5,0.52,1.00,7,190,1 month
cadeira de madeira para mesa de jantar,cadeira de madeira para mesa de jantar​,C,51,0,"1,600",,n/a,n/a,15,0.41,1.00,6,194,1 month
cadeira de mesa cozinha,cadeira de mesa cozinha​,IC,50,0,"1,600",,n/a,n/a,20,0.31,1.00,7,193,1 month
cadeira de rodinha,cadeira de rodinha​,I,53,0,"1,600",,n/a,n/a,23,0.72,1.00,7,233,1 month
cadeira de sala,cadeira de sala​,I,60,0,"1,600",,n/a,n/a,14,0.46,1.00,8,197,1 month
cadeira ergometrica escritorio,cadeira ergometrica escritorio​,C,58,0,"1,600",,n/a,n/a,22,1.34,1.00,6,191,1 month
cadeira escritorio preta,cadeira escritorio preta​,I,61,0,"1,600",,n/a,n/a,23,1.60,1.00,7,189,1 month
cadeira escritorio rosa,cadeira escritorio rosa​,I,56,0,"1,600",,n/a,n/a,16,0.82,1.00,9,213,1 month
cadeira externa,cadeira externa​,C,57,0,"1,600",,n/a,n/a,21,0.77,1.00,6,195,1 month
cadeira gamer dazz,cadeira gamer dazz​,IT,46,0,"1,600",,n/a,n/a,21,0.31,1.00,10,190,1 month
cadeira ganer,cadeira ganer​,C,59,0,"1,600",,n/a,n/a,39,0.93,1.00,7,190,1 month
cadeira mesa,cadeira mesa​,C,64,0,"1,600",,n/a,n/a,19,0.72,1.00,6,197,1 month
cadeira mesh,cadeira mesh​,I,58,0,"1,600",,n/a,n/a,15,1.13,1.00,9,205,1 month
cadeira para consultorio,cadeira para consultorio​,C,55,0,"1,600",,n/a,n/a,19,1.08,1.00,7,187,1 month
cadeira para escritorio branca,cadeira para escritorio branca​,IC,60,0,"1,600",,n/a,n/a,21,1.08,1.00,6,177,1 month
cadeira para jardim,cadeira para jardim​,I,54,0,"1,600",,n/a,n/a,24,0.57,1.00,6,190,1 month
cadeira paris,cadeira paris​,I,56,0,"1,600",,n/a,n/a,7,0.98,1.00,8,190,1 month
cadeira presidente de escritório,cadeira presidente de escritório​,C,59,0,"1,600",,n/a,n/a,11,1.13,1.00,6,197,1 month
cadeira rosa escritorio,cadeira rosa escritorio​,IC,53,0,"1,600",,n/a,n/a,24,0.82,1.00,8,220,1 month
cadeiras area externa,cadeiras area externa​,I,54,0,"1,600",,n/a,n/a,24,0.57,1.00,7,192,1 month
cadeiras cozinha,cadeiras cozinha​,C,50,0,"1,600",,n/a,n/a,17,0.41,1.00,6,167,1 month
cadeiras de escritório ergonômicas,cadeiras de escritório ergonômicas​,C,59,0,"1,600",,n/a,n/a,21,1.44,1.00,7,190,1 month
cadeiras de fabrica,cadeiras de fabrica​,C,45,0,"1,600",,n/a,n/a,22,2.11,1.00,7,189,1 month
cadeiras de madeira maciça,cadeiras de madeira maciça​,I,52,0,"1,600",,n/a,n/a,12,0.46,1.00,7,188,1 month
cadeiras de madeiras para mesa de jantar,cadeiras de madeiras para mesa de jantar​,I,50,0,"1,600",,n/a,n/a,13,0.41,1.00,8,191,1 month
cadeiras de varanda,cadeiras de varanda​,IC,52,0,"1,600",,n/a,n/a,24,0.41,1.00,7,186,1 month
cadeiras para bancada de cozinha,cadeiras para bancada de cozinha​,I,50,0,"1,600",,n/a,n/a,26,0.36,1.00,7,221,1 month
cadeiras para jantar,cadeiras para jantar​,I,53,0,"1,600",,n/a,n/a,13,0.67,1.00,7,196,1 month
cadeiras para jardim,cadeiras para jardim​,IC,52,0,"1,600",,n/a,n/a,19,0.57,1.00,6,186,1 month
cadeiras para mesa de cozinha,cadeiras para mesa de cozinha​,I,51,0,"1,600",,n/a,n/a,19,0.31,1.00,7,214,1 month
cadeiras para mesa jantar,cadeiras para mesa jantar​,C,55,0,"1,600",,n/a,n/a,10,0.77,1.00,7,198,1 month
cadeiras para sala de jantar modernas,cadeiras para sala de jantar modernas​,I,51,0,"1,600",,n/a,n/a,10,0.52,1.00,8,189,1 month
cadeirões de sala,cadeirões de sala​,C,39,0,"1,600",,n/a,n/a,25,0.46,1.00,7,192,1 month
casa bahia poltrona,casa bahia poltrona​,N,49,0,"1,600",,n/a,n/a,31,0.26,1.00,5,188,1 month
casa da cadeira,casa da cadeira​,C,59,0,"1,600",,n/a,n/a,29,1.55,1.00,8,160,1 month
encosto de cadeira,encosto de cadeira​,I,53,0,"1,600",,n/a,n/a,9,0.21,1.00,8,207,1 month
fabrica de cadeiras,fabrica de cadeiras​,C,42,0,"1,600",,n/a,n/a,23,2.11,1.00,8,190,1 month
kit cadeiras,kit cadeiras​,I,56,0,"1,600",,n/a,n/a,18,0.52,1.00,6,178,1 month
kit poltrona para sala,kit poltrona para sala​,I,45,0,"1,600",,n/a,n/a,25,0.36,1.00,8,208,1 month
loja de cadeiras,loja de cadeiras​,C,60,0,"1,600",,n/a,n/a,31,1.65,1.00,10,193,1 month
loja de cadeiras para escritorio,loja de cadeiras para escritorio​,C,60,0,"1,600",,n/a,n/a,25,2.42,1.00,7,197,1 month
mesa de canto decorativa para sala,mesa de canto decorativa para sala​,I,45,0,"1,600",,n/a,n/a,27,0.36,1.00,7,239,1 month
mesa de canto para cozinha,mesa de canto para cozinha​,IC,47,0,"1,600",,n/a,n/a,21,0.46,1.00,9,210,1 month
mesa lateral cama,mesa lateral cama​,I,49,0,"1,600",,n/a,n/a,20,0.72,1.00,7,195,1 month
mesa para sofa,mesa para sofa​,IC,47,0,"1,600",,n/a,n/a,21,0.46,1.00,8,190,1 month
mesa redonda lateral,mesa redonda lateral​,I,51,0,"1,600",,n/a,n/a,16,0.88,1.00,8,191,1 month
mesas de canto quarto,mesas de canto quarto​,I,45,0,"1,600",,n/a,n/a,26,0.00,1.00,8,202,1 month
mesas pequena para sala,mesas pequena para sala​,IC,46,0,"1,600",,n/a,n/a,26,0.36,1.00,9,204,1 month
mesinha centro,mesinha centro​,I,46,0,"1,600",,n/a,n/a,16,0.88,1.00,6,198,1 month
mesinhas de canto sala,mesinhas de canto sala​,IC,47,0,"1,600",,n/a,n/a,14,0.31,1.00,6,207,1 month
poltrona confortavel,poltrona confortavel​,C,52,0,"1,600",,n/a,n/a,23,0.82,1.00,6,187,1 month
poltrona decorativa sala,poltrona decorativa sala​,IC,43,0,"1,600",,n/a,n/a,19,0.41,1.00,8,194,1 month
poltrona escritório,poltrona escritório​,I,62,0,"1,600",,n/a,n/a,7,1.13,1.00,5,188,1 month
poltrona giratória sala,poltrona giratória sala​,I,50,0,"1,600",,n/a,n/a,11,0.52,1.00,8,184,1 month
poltrona no quarto de casal,poltrona no quarto de casal​,C,42,0,"1,600",,n/a,n/a,26,0.46,1.00,7,183,1 month
poltrona para mesa de jantar,poltrona para mesa de jantar​,C,51,0,"1,600",,n/a,n/a,25,0.57,1.00,7,143,1 month
poltronas para quarto,poltronas para quarto​,C,48,0,"1,600",,n/a,n/a,23,0.41,1.00,8,192,1 month
rodas cadeiras de escritorio,rodas cadeiras de escritorio​,C,49,0,"1,600",,n/a,n/a,4,0.41,1.00,5,189,1 month
sala de jantar cadeiras,sala de jantar cadeiras​,C,53,0,"1,600",,n/a,n/a,8,0.46,1.00,6,143,1 month
acapulco cadeira,acapulco cadeira​,IC,55,0,"1,300",,n/a,n/a,21,0.52,1.00,8,199,1 month
cabideiro de pé,cabideiro de pé​,I,50,0,"1,300",,n/a,n/a,26,0.36,1.00,8,213,1 month
cadeira acrilico,cadeira acrilico​,I,52,0,"1,300",,n/a,n/a,18,0.62,1.00,8,191,1 month
cadeira allegra original,cadeira allegra original​,IC,55,0,"1,300",,n/a,n/a,20,0.62,1.00,9,189,1 month
cadeira almofadada,cadeira almofadada​,I,64,0,"1,300",,n/a,n/a,21,0.57,1.00,7,187,1 month
cadeira azul,cadeira azul​,I,57,0,"1,300",,n/a,n/a,14,1.03,1.00,7,181,1 month
cadeira cinza,cadeira cinza​,I,66,0,"1,300",,n/a,n/a,18,0.93,1.00,5,187,1 month
cadeira couro escritorio,cadeira couro escritorio​,I,51,0,"1,300",,n/a,n/a,10,1.44,1.00,6,197,1 month
cadeira de escritorio mercado livre,cadeira de escritorio mercado livre​,IT,46,0,"1,300",,n/a,n/a,42,0.57,1.00,4,164,1 month
cadeira de escritorio sem braço,cadeira de escritorio sem braço​,C,55,0,"1,300",,n/a,n/a,13,0.98,1.00,8,169,1 month
cadeira de escritorio usada,cadeira de escritorio usada​,C,54,0,"1,300",,n/a,n/a,23,0.36,1.00,6,165,1 month
cadeira de escritório rosa,cadeira de escritório rosa​,IC,56,0,"1,300",,n/a,n/a,23,0.57,1.00,9,213,1 month
cadeira de espera,cadeira de espera​,C,53,0,"1,300",,n/a,n/a,29,0.62,1.00,5,195,1 month
cadeira de gaming,cadeira de gaming​,C,54,0,"1,300",,n/a,n/a,33,0.46,1.00,5,196,1 month
cadeira de jantar moderna,cadeira de jantar moderna​,C,59,0,"1,300",,n/a,n/a,16,0.52,1.00,8,191,1 month
cadeira de área,cadeira de área​,C,59,0,"1,300",,n/a,n/a,26,0.31,1.00,8,189,1 month
cadeira decorativa para sala,cadeira decorativa para sala​,I,55,0,"1,300",,n/a,n/a,22,0.36,1.00,7,197,1 month
cadeira diretor escritorio,cadeira diretor escritorio​,I,57,0,"1,300",,n/a,n/a,6,1.96,1.00,6,191,1 month
cadeira eiffel estofada,cadeira eiffel estofada​,C,52,0,"1,300",,n/a,n/a,28,0.46,1.00,7,270,1 month
cadeira ergonomica branca,cadeira ergonomica branca​,IC,60,0,"1,300",,n/a,n/a,21,0.82,1.00,7,205,1 month
cadeira ergonómica,cadeira ergonómica​,C,67,0,"1,300",,n/a,n/a,22,0.98,1.00,7,197,1 month
cadeira ergonômica escritório,cadeira ergonômica escritório​,I,62,0,"1,300",,n/a,n/a,23,1.55,1.00,7,185,1 month
cadeira ergonômica para escritório,cadeira ergonômica para escritório​,I,62,0,"1,300",,n/a,n/a,31,1.34,1.00,7,191,1 month
cadeira escritorio bege,cadeira escritorio bege​,I,56,0,"1,300",,n/a,n/a,17,1.34,1.00,6,205,1 month
cadeira escritorio sem braço,cadeira escritorio sem braço​,C,53,0,"1,300",,n/a,n/a,12,1.19,1.00,7,193,1 month
cadeira escritório confortável,cadeira escritório confortável​,C,64,0,"1,300",,n/a,n/a,23,0.98,1.00,7,181,1 month
cadeira fixa,cadeira fixa​,I,51,0,"1,300",,n/a,n/a,5,1.70,1.00,6,192,1 month
cadeira gamer promoção,cadeira gamer promoção​,C,57,0,"1,300",,n/a,n/a,32,0.41,1.00,5,196,1 month
cadeira giratoria estofada,cadeira giratoria estofada​,IC,57,0,"1,300",,n/a,n/a,18,0.77,1.00,6,192,1 month
cadeira gruvyer preta,cadeira gruvyer preta​,IC,51,0,"1,300",,n/a,n/a,28,0.52,1.00,9,204,1 month
cadeira mesa de jantar moderna,cadeira mesa de jantar moderna​,I,56,0,"1,300",,n/a,n/a,12,0.62,1.00,7,194,1 month
cadeira na sala de estar,cadeira na sala de estar​,IC,53,0,"1,300",,n/a,n/a,22,0.46,1.00,10,200,1 month
cadeira no quarto,cadeira no quarto​,I,56,0,"1,300",,n/a,n/a,31,0.41,1.00,11,177,1 month
cadeira ortopedica,cadeira ortopedica​,I,64,0,"1,300",,n/a,n/a,21,0.00,0.00,7,182,1 month
cadeira para escritório branca,cadeira para escritório branca​,IC,58,0,"1,300",,n/a,n/a,18,1.08,1.00,7,184,1 month
cadeira para estudar,cadeira para estudar​,I,60,0,"1,300",,n/a,n/a,27,0.46,1.00,8,189,1 month
cadeira para estudos,cadeira para estudos​,I,58,0,"1,300",,n/a,n/a,22,0.46,1.00,8,209,1 month
cadeira para leitura,cadeira para leitura​,IC,54,0,"1,300",,n/a,n/a,24,0.57,1.00,9,181,1 month
cadeira para área externa,cadeira para área externa​,C,54,0,"1,300",,n/a,n/a,20,0.57,1.00,7,193,1 month
cadeira preta escritorio,cadeira preta escritorio​,I,62,0,"1,300",,n/a,n/a,21,1.60,1.00,7,191,1 month
cadeira sacada,cadeira sacada​,C,57,0,"1,300",,n/a,n/a,29,0.52,1.00,7,223,1 month
cadeira sala,cadeira sala​,IC,62,0,"1,300",,n/a,n/a,20,0.77,1.00,7,167,1 month
cadeira sala de espera,cadeira sala de espera​,I,51,0,"1,300",,n/a,n/a,18,0.77,1.00,5,190,1 month
cadeira sala de reunião,cadeira sala de reunião​,C,55,0,"1,300",,n/a,n/a,12,2.58,1.00,7,163,1 month
cadeira secretária giratória,cadeira secretária giratória​,IC,50,0,"1,300",,n/a,n/a,7,1.39,1.00,8,188,1 month
cadeira área externa,cadeira área externa​,I,53,0,"1,300",,n/a,n/a,21,0.57,1.00,7,195,1 month
cadeiras acolchoadas,cadeiras acolchoadas​,I,57,0,"1,300",,n/a,n/a,25,0.57,1.00,7,198,1 month
cadeiras alta para bancada,cadeiras alta para bancada​,C,51,0,"1,300",,n/a,n/a,26,0.46,1.00,7,221,1 month
cadeiras bancadas,cadeiras bancadas​,C,56,0,"1,300",,n/a,n/a,23,0.41,1.00,8,221,1 month
cadeiras de escritorio ergonomica,cadeiras de escritorio ergonomica​,C,62,0,"1,300",,n/a,n/a,20,1.44,1.00,8,186,1 month
cadeiras de madeira para sala de jantar,cadeiras de madeira para sala de jantar​,I,55,0,"1,300",,n/a,n/a,11,0.41,1.00,7,187,1 month
cadeiras de mesa de jantar,cadeiras de mesa de jantar​,I,56,0,"1,300",,n/a,n/a,7,0.46,1.00,6,197,1 month
cadeiras estofadas,cadeiras estofadas​,I,56,0,"1,300",,n/a,n/a,13,0.62,1.00,8,192,1 month
cadeiras estofadas de jantar,cadeiras estofadas de jantar​,C,53,0,"1,300",,n/a,n/a,15,0.57,1.00,8,176,1 month
cadeiras estudar,cadeiras estudar​,C,58,0,"1,300",,n/a,n/a,30,0.46,1.00,5,202,1 month
cadeiras madeira,cadeiras madeira​,IC,57,0,"1,300",,n/a,n/a,11,0.82,1.00,7,197,1 month
cadeiras para consultorio,cadeiras para consultorio​,I,51,0,"1,300",,n/a,n/a,21,1.08,1.00,6,193,1 month
cadeiras para mesa de jantar modernas,cadeiras para mesa de jantar modernas​,I,58,0,"1,300",,n/a,n/a,9,0.62,1.00,8,186,1 month
cadeiras para mesas de madeira,cadeiras para mesas de madeira​,IC,52,0,"1,300",,n/a,n/a,13,0.41,1.00,7,188,1 month
cadeiras para sala de espera,cadeiras para sala de espera​,I,53,0,"1,300",,n/a,n/a,22,0.77,1.00,7,192,1 month
cadeiras poltronas,cadeiras poltronas​,C,53,0,"1,300",,n/a,n/a,15,0.82,1.00,6,190,1 month
estofado para cadeira,estofado para cadeira​,I,48,0,"1,300",,n/a,n/a,24,0.77,1.00,8,196,1 month
kit cadeiras de jantar,kit cadeiras de jantar​,C,48,0,"1,300",,n/a,n/a,19,0.46,1.00,6,211,1 month
melhor cadeira gamer,melhor cadeira gamer​,C,45,0,"1,300",,n/a,n/a,24,0.88,1.00,8,176,1 month
mesa centro de sala,mesa centro de sala​,IC,46,0,"1,300",,n/a,n/a,16,0.57,1.00,7,197,1 month
mesinha de apoio,mesinha de apoio​,I,49,0,"1,300",,n/a,n/a,15,0.72,1.00,8,201,1 month
mesinha de sala,mesinha de sala​,C,48,0,"1,300",,n/a,n/a,24,0.57,1.00,8,215,1 month
mesinha lateral sala,mesinha lateral sala​,IT,51,0,"1,300",,n/a,n/a,18,0.57,1.00,7,195,1 month
mesinha para canto de sala,mesinha para canto de sala​,I,47,0,"1,300",,n/a,n/a,16,0.21,1.00,9,215,1 month
mesinha para sala,mesinha para sala​,C,47,0,"1,300",,n/a,n/a,26,0.26,1.00,8,191,1 month
modelo de cadeira de madeira,modelo de cadeira de madeira​,IC,57,0,"1,300",,n/a,n/a,27,0.47,1.00,9,184,1 month
modelos de cadeiras em madeira,modelos de cadeiras em madeira​,I,51,0,"1,300",,n/a,n/a,19,0.47,1.00,9,200,1 month
moveis externos,moveis externos​,C,40,0,"1,300",,n/a,n/a,21,1.55,1.00,8,205,1 month
moveis jardim,moveis jardim​,IT,42,0,"1,300",,n/a,n/a,27,0.93,1.00,5,121,1 month
poltrona mesa de jantar,poltrona mesa de jantar​,I,54,0,"1,300",,n/a,n/a,14,0.57,1.00,6,187,1 month
poltrona moderna,poltrona moderna​,C,47,0,"1,300",,n/a,n/a,24,0.93,1.00,8,198,1 month
poltrona para escritório,poltrona para escritório​,IC,53,0,"1,300",,n/a,n/a,14,1.14,1.00,5,187,1 month
poltrona para quarto de casal,poltrona para quarto de casal​,I,46,0,"1,300",,n/a,n/a,28,0.47,1.00,7,191,1 month
poltrona sala de espera,poltrona sala de espera​,IC,41,0,"1,300",,n/a,n/a,21,0.83,1.00,9,189,1 month
poltrona sala de tv,poltrona sala de tv​,I,44,0,"1,300",,n/a,n/a,21,0.47,1.00,8,184,1 month
poltronas de sala,poltronas de sala​,I,51,0,"1,300",,n/a,n/a,23,0.41,1.00,8,194,1 month
poltronas estilosas para sala,poltronas estilosas para sala​,I,50,0,"1,300",,n/a,n/a,23,0.52,1.00,9,186,1 month
poltronas pequena para sala,poltronas pequena para sala​,C,44,0,"1,300",,n/a,n/a,27,0.41,1.00,8,192,1 month
web cadeiras,web cadeiras​,N,46,0,"1,300",,n/a,n/a,20,6.43,1.00,9,158,1 month
webcadeiras fortaleza,webcadeiras fortaleza​,IT,40,0,"1,300",,n/a,n/a,35,7.98,0.62,9,107,1 month
cabideiro de chão madeira,cabideiro de chão madeira​,IC,50,0,"1,000",,n/a,n/a,17,0.41,1.00,7,194,1 month
cabideiro madeira,cabideiro madeira​,I,52,0,"1,000",,n/a,n/a,26,0.57,1.00,6,195,1 month
cadeira acrilico transparente,cadeira acrilico transparente​,I,48,0,"1,000",,n/a,n/a,21,0.52,1.00,8,178,1 month
cadeira barata,cadeira barata​,C,66,0,"1,000",,n/a,n/a,29,0.52,1.00,7,225,1 month
cadeira confortável para estudo,cadeira confortável para estudo​,I,55,0,"1,000",,n/a,n/a,18,0.41,1.00,9,194,1 month
cadeira de bancada,cadeira de bancada​,C,54,0,"1,000",,n/a,n/a,23,0.36,1.00,5,213,1 month
cadeira de couro escritorio,cadeira de couro escritorio​,IC,49,0,"1,000",,n/a,n/a,16,1.19,1.00,7,202,1 month
cadeira de escritorio confortavel,cadeira de escritorio confortavel​,IC,60,0,"1,000",,n/a,n/a,30,1.09,1.00,10,193,1 month
cadeira de escritorio em couro,cadeira de escritorio em couro​,IC,50,0,"1,000",,n/a,n/a,13,1.19,1.00,5,192,1 month
cadeira de escritorio fixa,cadeira de escritorio fixa​,I,53,0,"1,000",,n/a,n/a,10,1.40,1.00,5,164,1 month
cadeira de escritorio presidencial,cadeira de escritorio presidencial​,I,59,0,"1,000",,n/a,n/a,15,1.30,1.00,9,195,1 month
cadeira de escritorio preta,cadeira de escritorio preta​,I,62,0,"1,000",,n/a,n/a,18,1.30,1.00,8,191,1 month
cadeira de escrivaninha,cadeira de escrivaninha​,I,62,0,"1,000",,n/a,n/a,25,0.47,1.00,7,211,1 month
cadeira de madeira cozinha,cadeira de madeira cozinha​,C,51,0,"1,000",,n/a,n/a,18,0.36,1.00,7,164,1 month
cadeira de madeira estofada,cadeira de madeira estofada​,I,49,0,"1,000",,n/a,n/a,9,0.47,1.00,6,184,1 month
cadeira de madeira jantar,cadeira de madeira jantar​,I,55,0,"1,000",,n/a,n/a,12,0.52,1.00,8,185,1 month
cadeira de madeira para cozinha,cadeira de madeira para cozinha​,IC,52,0,"1,000",,n/a,n/a,18,0.36,1.00,8,195,1 month
cadeira de mesa para cozinha,cadeira de mesa para cozinha​,IC,50,0,"1,000",,n/a,n/a,16,0.31,1.00,7,233,1 month
cadeira de recepção,cadeira de recepção​,C,52,0,"1,000",,n/a,n/a,21,0.98,1.00,7,186,1 month
cadeira de sala de jantar,cadeira de sala de jantar​,I,55,0,"1,000",,n/a,n/a,10,0.47,1.00,8,191,1 month
cadeira design,cadeira design​,I,53,0,"1,000",,n/a,n/a,21,1.50,1.00,8,191,1 month
cadeira eifel,cadeira eifel​,I,58,0,"1,000",,n/a,n/a,12,0.41,1.00,8,188,1 month
cadeira em tela,cadeira em tela​,I,53,0,"1,000",,n/a,n/a,7,0.88,1.00,7,188,1 month
cadeira ergonômica nr17,cadeira ergonômica nr17​,C,48,0,"1,000",,n/a,n/a,13,1.30,1.00,8,196,1 month
cadeira escritorio couro,cadeira escritorio couro​,I,49,0,"1,000",,n/a,n/a,14,1.45,1.00,7,203,1 month
cadeira escritorio diretor,cadeira escritorio diretor​,IC,56,0,"1,000",,n/a,n/a,8,1.97,1.00,7,192,1 month
cadeira escritorio marrom,cadeira escritorio marrom​,I,55,0,"1,000",,n/a,n/a,18,1.24,1.00,7,187,1 month
cadeira escrivaninha quarto,cadeira escrivaninha quarto​,C,56,0,"1,000",,n/a,n/a,28,0.41,1.00,6,236,1 month
cadeira estofada sala de jantar,cadeira estofada sala de jantar​,I,53,0,"1,000",,n/a,n/a,11,0.57,1.00,8,189,1 month
cadeira estudar,cadeira estudar​,C,61,0,"1,000",,n/a,n/a,27,0.47,1.00,8,190,1 month
cadeira gamer 150kg,cadeira gamer 150kg​,C,51,0,"1,000",,n/a,n/a,25,0.47,1.00,7,184,1 month
cadeira gamer ergonômica,cadeira gamer ergonômica​,I,54,0,"1,000",,n/a,n/a,24,0.67,1.00,8,189,1 month
cadeira giratoria secretaria,cadeira giratoria secretaria​,C,51,0,"1,000",,n/a,n/a,5,1.40,1.00,5,188,1 month
cadeira jantar madeira,cadeira jantar madeira​,I,59,0,"1,000",,n/a,n/a,11,0.78,1.00,6,191,1 month
cadeira leda,cadeira leda​,IC,53,0,"1,000",,n/a,n/a,16,0.57,1.00,7,187,1 month
cadeira madeira jantar,cadeira madeira jantar​,I,57,0,"1,000",,n/a,n/a,10,0.78,1.00,7,189,1 month
cadeira mesa de cozinha,cadeira mesa de cozinha​,IC,54,0,"1,000",,n/a,n/a,21,0.31,1.00,7,200,1 month
cadeira para escritorio diretor,cadeira para escritorio diretor​,IC,59,0,"1,000",,n/a,n/a,6,1.97,1.00,5,194,1 month
cadeira para escritorio rosa,cadeira para escritorio rosa​,I,54,0,"1,000",,n/a,n/a,21,0.83,1.00,9,225,1 month
cadeira para escritorio sem braço,cadeira para escritorio sem braço​,I,52,0,"1,000",,n/a,n/a,11,1.19,1.00,8,208,1 month
cadeira para escritorio sem rodinha,cadeira para escritorio sem rodinha​,C,52,0,"1,000",,n/a,n/a,15,0.88,1.00,7,204,1 month
cadeira para escritório presidente,cadeira para escritório presidente​,C,59,0,"1,000",,n/a,n/a,31,1.19,1.00,6,187,1 month
cadeira para escrivaninha quarto,cadeira para escrivaninha quarto​,C,58,0,"1,000",,n/a,n/a,30,0.41,1.00,7,180,1 month
cadeira para home office,cadeira para home office​,C,54,0,"1,000",,n/a,n/a,22,0.93,1.00,8,165,1 month
cadeira para mesa de madeira,cadeira para mesa de madeira​,IC,52,0,"1,000",,n/a,n/a,14,0.41,1.00,8,193,1 month
cadeira para quarto escrivaninha,cadeira para quarto escrivaninha​,I,57,0,"1,000",,n/a,n/a,25,0.41,1.00,5,208,1 month
